id,player_name,p_code,nationality,c_code,player_url,created_at,updated_at,gender
213,Johan De Preter,jdepr,BEL,BEL,/profile-bio/men/Johan_De_Preter/,,,M
215,Steve Shaw,sshaw_2,GBR,XXX,/profile-bio/men/Steve_Shaw/,,,M
216,Eva Bes,ebes,Spain,ESP,/profile-bio/women/Eva_Bes/,,,F
217,Mauro Menezes,mmene,BRA,BRA,/profile-bio/men/Mauro_Menezes/,,,M
218,Linley Tanner,ltann,United States,USA,/profile-bio/women/Linley_Tanner/,,,F
219,Matthew MacMahon,mmacm,AUS,AUS,/profile-bio/men/Matthew_MacMahon/,,,M
221,Ettore Rossetti,eross_2,ITA,ITA,/profile-bio/men/Ettore_Rossetti/,,,M
222,Nathalie Tschan,ntsch,Switzerland,CHE,/profile-bio/women/Nathalie_Tschan/,,,F
223,Mike Van Den Berg,mvden,NED,NLD,/profile-bio/men/Mike_Van_Den_Berg/,,,M
225,Isabelle Crudo,icrud,France,FRA,/profile-bio/women/Isabelle_Crudo/,,,F
226,Joana Pedroso,jpedr,Portugal,PRT,/profile-bio/women/Joana_Pedroso/,,,F
227,Andrea Vopat,avopa,Germany,DEU,/profile-bio/women/Andrea_Vopat/,,,F
228,Angie Woolcock,awool,Australia,AUS,/profile-bio/women/Angie_Woolcock/,,,F
231,Jeff Greenwald,jgree,USA,USA,/profile-bio/men/Jeff_Greenwald/,,,M
232,Scott Sigerseth,ssige,USA,USA,/profile-bio/men/Scott_Sigerseth/,,,M
233,Srdan Muskatirovic,smusk,SRB,SRB,/profile-bio/men/Srdan_Muskatirovic/,,,M
234,Pier Gauthier,pgaut,FRA,FRA,/profile-bio/men/Pier_Gauthier/,,,M
235,Zoran Sevcenko,zsevc,MKD,XXX,/profile-bio/men/Zoran_Sevcenko/,,,M
236,Sebastien Leblanc,slebl,CAN,CAN,/profile-bio/men/Sebastien_Leblanc/,,,M
237,Frederic Vitoux,fvito_2,FRA,FRA,/profile-bio/men/Frederic_Vitoux/,,,M
238,Francisco Pinto,fpint,BRA,BRA,/profile-bio/men/Francisco_Pinto/,,,M
239,Kimberly Po-Messerli,kpo-m,United States,USA,/profile-bio/women/Kimberly_Po-Messerli/,,,F
240,Brian Page,bpage,USA,USA,/profile-bio/men/Brian_Page/,,,M
242,Pedro Lopez,plope,COL,COL,/profile-bio/men/Pedro_Lopez/,,,M
243,Americo Tupi Venero,atupi,PER,PER,/profile-bio/men/Americo_Tupi_Venero/,,,M
